station_id,metro_name,state,city,station_name,station_code,line_name,latitude,longitude,opening_year,interchange_station,platform_count,daily_average_footfall,nearby_landmarks,station_category
DEL001,Delhi Metro,Delhi NCR,Delhi,Samaypur Badli,DEL-SAM,Yellow Line,28.747667,77.13426,2004,No,2,120355,"Shopping district, offices & markets near Samaypur Badli",Commercial
DEL002,Delhi Metro,Delhi NCR,Delhi,Rohini Sector 18-19,DEL-ROH,Yellow Line,28.741252,77.139373,2004,No,2,104792,Residential colonies & local markets near Rohini Sector 18-19,Residential
DEL003,Delhi Metro,Delhi NCR,Delhi,Haiderpur Badli Mor,DEL-HAI,Yellow Line,28.723821,77.129703,2004,No,2,113324,Residential colonies & local markets near Haiderpur Badli Mor,Residential
DEL004,Delhi Metro,Delhi NCR,Delhi,Jahangirpuri,DEL-JAH,Yellow Line,28.723122,77.131335,2004,No,2,88355,Residential colonies & local markets near Jahangirpuri,Residential
DEL005,Delhi Metro,Delhi NCR,Delhi,Adarsh Nagar,DEL-ADA,Yellow Line,28.714641,77.127637,2004,No,2,135773,IT parks & tech offices around Adarsh Nagar,IT Hub
DEL006,Delhi Metro,Delhi NCR,Delhi,Azadpur,DEL-AZA,Yellow Line / Pink Line,28.715929,77.149835,2004,Yes,4,272277,"Shopping district, offices & markets near Azadpur",Commercial
DEL007,Delhi Metro,Delhi NCR,Delhi,Model Town,DEL-MOD,Yellow Line,28.698981,77.130929,2004,No,2,69749,"Colleges, coaching centres & hostels near Model Town",Educational Zone
DEL008,Delhi Metro,Delhi NCR,Delhi,GTB Nagar,DEL-GTB,Yellow Line,28.692411,77.122156,2004,No,2,47874,"Colleges, coaching centres & hostels near GTB Nagar",Educational Zone
DEL009,Delhi Metro,Delhi NCR,Delhi,Vishwavidyalaya,DEL-VIS,Yellow Line,28.684091,77.119988,2004,No,2,44110,"Colleges, coaching centres & hostels near Vishwavidyalaya",Educational Zone
DEL010,Delhi Metro,Delhi NCR,Delhi,Vidhan Sabha,DEL-VID,Yellow Line,28.6779,77.12135,2004,No,2,79522,Residential colonies & local markets near Vidhan Sabha,Residential
DEL011,Delhi Metro,Delhi NCR,Delhi,Civil Lines,DEL-CIV,Yellow Line,28.666203,77.117322,2004,No,2,107508,"Shopping district, offices & markets near Civil Lines",Commercial
DEL012,Delhi Metro,Delhi NCR,Delhi,Kashmere Gate,DEL-KAS,Yellow Line / Red Line / Violet Line,28.67854,77.207394,2002,Yes,6,221658,"Railway station, bus terminal & transit hub at Kashmere Gate",Railway Connection
DEL013,Delhi Metro,Delhi NCR,Delhi,Chandni Chowk,DEL-CHA,Yellow Line,28.649401,77.114834,2004,No,2,85417,Residential colonies & local markets near Chandni Chowk,Residential
DEL014,Delhi Metro,Delhi NCR,Delhi,Chawri Bazar,DEL-CH2,Yellow Line,28.644788,77.115526,2004,No,2,84380,Residential colonies & local markets near Chawri Bazar,Residential
DEL015,Delhi Metro,Delhi NCR,Delhi,New Delhi,DEL-NEW,Yellow Line / Airport Express,28.641383,77.165534,2004,Yes,6,303868,"Railway station, bus terminal & transit hub at New Delhi",Railway Connection
DEL016,Delhi Metro,Delhi NCR,Delhi,Rajiv Chowk,DEL-RAJ,Yellow Line / Blue Line,28.61281,77.168591,2004,Yes,2,160085,"Shopping district, offices & markets near Rajiv Chowk",Commercial
DEL017,Delhi Metro,Delhi NCR,Delhi,Patel Chowk,DEL-PAT,Yellow Line,28.617207,77.105941,2004,No,2,133315,"Shopping district, offices & markets near Patel Chowk",Commercial
DEL018,Delhi Metro,Delhi NCR,Delhi,Central Secretariat,DEL-CEN,Yellow Line / Violet Line,28.603039,77.182642,2004,Yes,6,306017,"Railway station, bus terminal & transit hub at Central Secretariat",Railway Connection
DEL019,Delhi Metro,Delhi NCR,Delhi,Udyog Bhawan,DEL-UDY,Yellow Line,28.602651,77.102209,2004,No,2,105164,Residential colonies & local markets near Udyog Bhawan,Residential
DEL020,Delhi Metro,Delhi NCR,Delhi,Lok Kalyan Marg,DEL-LOK,Yellow Line,28.592189,77.105608,2004,No,2,106265,Residential colonies & local markets near Lok Kalyan Marg,Residential
DEL021,Delhi Metro,Delhi NCR,Delhi,Jor Bagh,DEL-JOR,Yellow Line,28.589701,77.103412,2004,No,2,91959,"Shopping district, offices & markets near Jor Bagh",Commercial
DEL022,Delhi Metro,Delhi NCR,Delhi,INA,DEL-INA,Yellow Line / Pink Line,28.643992,77.165274,2004,Yes,6,189056,"Shopping district, offices & markets near INA",Commercial
DEL023,Delhi Metro,Delhi NCR,Delhi,AIIMS,DEL-AII,Yellow Line,28.571558,77.098638,2004,No,2,65971,Residential colonies & local markets near AIIMS,Residential
DEL024,Delhi Metro,Delhi NCR,Delhi,Green Park,DEL-GRE,Yellow Line,28.566225,77.096835,2004,No,2,117184,"Shopping district, offices & markets near Green Park",Commercial
DEL025,Delhi Metro,Delhi NCR,Delhi,Hauz Khas,DEL-HAU,Yellow Line / Magenta Line,28.580507,77.146297,2004,Yes,4,265682,IT parks & tech offices around Hauz Khas,IT Hub
